CompanyNames,CompanyCode,marketcap_num
Microsoft,MSFT,3033000000000
Apple,AAPL,2951000000000
Alphabet (Google),GOOG,1909000000000
Amazon,AMZN,1653000000000
NVIDIA,NVDA,1522000000000
Meta Platforms (Facebook),META,1026999999999.9999
Berkshire Hathaway,BRK-B,826220000000
Eli Lilly,LLY,611430000000
Tesla,TSLA,598970000000
Broadcom,AVGO,568870000000
Visa,V,551510000000
JPMorgan Chase,JPM,494100000000
UnitedHealth,UNH,465740000000
Walmart,WMT,442170000000
Mastercard,MA,410650000000
Exxon Mobil,XOM,409900000000
Johnson & Johnson,JNJ,384200000000
Procter & Gamble,PG,366410000000
Home Depot,HD,351920000000
Oracle,ORCL,312910000000
Merck,MRK,306560000000
Costco,COST,305700000000
AbbVie,ABBV,289630000000
AMD,AMD,285430000000
Adobe,ADBE,283320000000
Chevron,CVX,278750000000
Salesforce,CRM,275280000000
Bank of America,BAC,263070000000
Coca-Cola,KO,257220000000.00003
Netflix,NFLX,251120000000
Pepsico,PEP,231180000000
Thermo Fisher Scientific,TMO,214450000000
McDonald,MCD,213790000000
Cisco,CSCO,212030000000
Abbott Laboratories,ABT,196150000000
T-Mobile US,TMUS,193840000000
Comcast,CMCSA,185350000000
Intel,INTC,183300000000
Wells Fargo,WFC,180980000000
Intuit,INTU,180960000000
Walt Disney,DIS,176590000000
Verizon,VZ,176210000000
Danaher,DHR,171220000000
IBM,IBM,170810000000
QUALCOMM,QCOM,166730000000
Amgen,AMGN,166330000000
ServiceNow,NOW,159280000000
Nike,NKE,155140000000
Pfizer,PFE,154590000000
Caterpillar,CAT,152820000000
Texas Instruments,TXN,149940000000
Union Pacific Corporation,UNP,147130000000
American Express,AXP,144170000000
Morgan Stanley,MS,142260000000
General Electric,GE,142040000000
Philip Morris,PM,141640000000
S&P Global,SPGI,141350000000
Applied Materials,AMAT,139040000000
Uber,UBER,136720000000
United Parcel Service,UPS,133690000000
Honeywell,HON,132660000000
Intuitive Surgical,ISRG,132410000000
ConocoPhillips,COP,131930000000
Raytheon Technologies,RTX,129570000000
Boeing,BA,123640000000
Goldman Sachs,GS,122870000000
AT&T,T,122830000000
Booking Holdings (Booking.com),BKNG,122510000000
Nextera Energy,NEE,121210000000
Lowe's Companies,LOW,120720000000
Prologis,PLD,120530000000
Stryker Corporation,SYK,118590000000
Charles Schwab,SCHW,116420000000
BlackRock,BLK,116370000000
Elevance Health,ELV,113890000000
Vertex Pharmaceuticals,VRTX,111200000000
Deere & Company,DE,110410000000
Lam Research,LRCX,110100000000
TJX Companies,TJX,109300000000
Palo Alto Networks,PANW,108310000000
Starbucks,SBUX,105120000000
Progressive,PGR,104810000000
Lockheed Martin,LMT,103740000000
Regeneron Pharmaceuticals,REGN,103400000000
Mondelez,MDLZ,102530000000
Citigroup,C,102450000000
Bristol-Myers Squibb,BMY,100740000000
Micron Technology,MU,99070000000
Gilead Sciences,GILD,98880000000
Automatic Data Processing,ADP,96960000000
Airbnb,ABNB,96740000000
Analog Devices,ADI,96680000000
CVS Health,CVS,94100000000
Marsh & McLennan Companies,MMC,93860000000
